вулиця 40 років комсомолу 	> вулиця Антіна Синявського
Провулок 40 років комсомолу 	> провулок Синявського
вулиця 55 років ВЛКСМ 	> вулиця Пластівська
вулиця 60-річчя Жовтня 	> вулиця Енергетиків
Площа 80-річчя Дніпропетровської області 	> площа Козацька
вулиця 80-річчя Дніпропетровщини 	> вулиця Олександра Красносельського
Сквер 80-річчя Дніпропетровської області 	> Сквер Сосновий
вулиця XIX партз'їзду 	> вулиця Івана Гонти
вулиця XXII партз’їзду 	> вулиця Вознесенська
вулиця XXV партз'їзду 	> вулиця Князя Костянтина Острозького
вулиця Аверіна 	> вулиця Курінна
вулиця Аврори 	> вулиця Трифона Гладченка
вулиця Арсеничева 	> вулиця Олександра Рейнгарда
вулиця Артема 	> вулиця Січових Стрільців
вулиця Бабушкіна 	> вулиця Романа Шухевича
Провулок Бабушкіна 	> провулок В'язовий
Район Бабушкінський 	> Район Шевченківський
вулиця Баглія 	> вулиця Брацлавська
Провулок Бакуніна 	> провулок Ігренський
вулиця Балка колгоспна 	> вулиця Балка мальовнича
вулиця Барбюса 	> вулиця Євгена Сердюкова
вулиця Баумана 	> вулиця Павла Нірінберга
вулиця Бєлінського 	> вулиця Ізмаїла Срезневського
вулиця Бібікова 	> вулиця Павла Бута
вулиця Білостоцького 	> вулиця Любарського
Провулок Білостоцького 	> провулок Любарського
Провулок Більшовицький 	> вулиця Холодноярська
вулиця Благоєва 	> вулиця Сергія Подолинського
вулиця Блюхера 	> вулиця Романа Мстиславовича
вулиця Боженка 	> вулиця Хортицька
вулиця Большунова 	> вулиця Данила Сахненка
вулиця Бонч-Бруєвича 	> вулиця Дмитра Байди-Вишневецького
вулиця Братів Каменських 	> вулиця Зернова
вулиця Братів Ковальчуків 	> вулиця Байдаківська
вулиця Братів Міллер 	> вулиця Леоніда Жебуньова
Провулок Братів Трофімових 	> провулок Діївський
вулиця Братів Трофімових 	> вулиця Велика Діївська
вулиця Будьонного 	> вулиця Данила Галицького
вулиця Булата 	> вулиця Люблянська
вулиця Булигіна 	> вулиця Івана Езау
вулиця Валявки 	> вулиця Данила Апостола
вулиця Варейкіса 	> вулиця Джузеппе Гарібальді
вулиця Вахрушева 	> вулиця Василя Сидоренка
вулиця Винокурова 	> вулиця Дніпросталівська
вулиця Власенка 	> вулиця Гулака-Артемовського
вулиця Войкова 	> вулиця Краківська
вулиця Войцеховича 	> вулиця Миколи Руденка
Проїзд Войцеховський 	> Проїзд Швидкісний
вулиця Володарського 	> вулиця Олександра Кониського
вулиця Володимира Ошка 	> вулиця Солідарності
вулиця Воровського 	> вулиця Дмитра Багалія
Проспект Воронцова 	> Проспект Мануйлівський
Ж/м Воронцовський 	> Ж/м Мануйлівський
вулиця Ворошилова 	> вулиця Сергія Єфремова
вулиця Ворошиловград-ська 	> вулиця Пшенична
Проспект Газети "Правда" 	> Проспект Слобожанський
вулиця Галана 	> вулиця Івана Піддубного
вулиця Галана 	> вулиця Празької весни
вулиця Галковського 	> вулиця Сарматська
вулиця Гайдара 	> вулиця Дмитра Марковича
вулиця Генерала Грушевого 	> вулиця Гетьмана Петра Дорошенка
вулиця Героїв Громадянської війни 	> вулиця Марії Лисиченко
вулиця Героїв Сталінграда 	> Проспект Богдана Хмельницького
вулиця Годовикова 	> вулиця Братиславська
вулиця Гопнер 	> вулиця Магдебурзького права
Площа Горького 	> площа Половицька
вулиця Горького 	> вулиця Княгині Ольги
вулиця Губанова 	> вулиця Лубенська
вулиця Гудкова 	> вулиця Яна Гуса
Площа Дем'яна Бєдного 	> площа Успенська
вулиця Дзержинського 	> вулиця Коханівська
Площа Дзержинського 	> площа Новокодацька
вулиця Дзержинського 	> вулиця Володимира Вернадського
Провулок Дзержинського 	> провулок Зоряний
Провулок Дибенка 	> провулок Привабливий
вулиця Дибенка 	> вулиця Василя Кука
вулиця Дибенка 	> вулиця Хотинська
вулиця Димитрова 	> вулиця Хизовська
вулиця Димитрова 	> вулиця Михайла Драгоманова
вулиця Дмитра Донського 	> вулиця Дмитра Донцова
вулиця Дундича 	> вулиця Хорватська
вулиця Енгельса 	> вулиця Афанасьєва-Чужбинського
Провулок Єрмака 	> провулок Кленовий
вулиця Желваківського 	> вулиця Полонської-Василенко
вулиця Жовтенят 	> вулиця Фортечна
вулиця Жовтнева 	> вулиця Золотоосіння
вулиця Жовтнева 	> вулиця Марії Приймаченко
Площа Жовтнева 	> площа Соборна
Провулок Жовтневий 	> провулок Золотоосінній
Район Жовтневий 	> Район Соборний
Сквер Жовтневий 	> Сквер Івана Старова
вулиця Жуковського 	> вулиця Василя Жуковського
вулиця Замарайкіна 	> вулиця Корсунська
вулиця Замполіта Бєляєва 	> вулиця Бєляєва
вулиця Захаренка 	> вулиця Глухівська
вулиця Івана Зінукова 	> вулиця Портова
вулиця Івана Сусаніна 	> вулиця Майстрів
Провулок Івана Сусаніна 	> провулок Майстрів
Проспект Ілліча 	> Проспект Пилипа Орлика
Провулок Ілліча 	> провулок Орлика
Затока ім. Кірова 	> затока Затишна
Сквер ім. Леніна 	> Сквер Героїв
Парк ім. Ленінського комсомола 	> парк Зелений Гай
Парк ім. Воронцова 	> парк Сагайдак
Парк ім. Калініна 	> парк Пам’яті та Примирення
Парк ім. Кірова 	> парк Кирилівка
вулиця Іскри 	> вулиця Піскова
Провулок Калініна 	> провулок Січовий
Узвіз Калініна 	> узвіз Ярмарковий
вулиця Калінінградська 	> вулиця Трофима Романченка
вулиця Каляєва 	> вулиця Симиренківська
вулиця Кантемирівська 	> вулиця Євгена Маланюка
вулиця Карла Лібкнехта 	> вулиця Михайла Грушевського
Проспект Карла Маркса 	> Проспект Дмитра Яворницького
вулиця Карпуші 	> вулиця Єлагінська
вулиця Квірінга 	> вулиця Бельгійська
вулиця КІМа 	> вулиця Мелитопольська
вулиця Кірінаківська 	> вулиця Деревлянська
Тупик Кірова 	> вулиця Мальвова
Проспект Кірова 	> Проспект Олександра Поля
Провулок Кірова 	> провулок Назарія Яремчука
вулиця Кірова 	> вулиця Старий шлях
Стадіон Кірова 	> стадіон Петра Лайка
вулиця Кіровоградська 	> вулиця Інгульська
Провулок Кіровоградський 	> провулок Інгульський
Район Кіровський 	> Район Центральний
вулиця Клари Цеткін 	> вулиця Володимира Моссаковського
вулиця Клочка 	> вулиця Данила Заболотного
Ж/м Клочко 	> Ж/м Калиновський
вулиця Колгоспна 	> вулиця Фермерська
Провулок Колгоспний 	> провулок Лоцманів Казанців
вулиця Коллонтай 	> вулиця Ганни Барвінок
вулиця Комбідівська 	> вулиця Василя Хитя
вулиця Комінтерну 	> вулиця Яхненківська
вулиця Комісара Крилова 	> вулиця Олександра Оцупа
вулиця Комісарівська 	> вулиця Гайдамацька
Провулок Комісарівський 	> провулок Гайдамацький
вулиця Комітетська 	> вулиця Василя Капніста
вулиця Комсомольська 	> вулиця Айдарівська
вулиця Комсомольська 	> вулиця Старокозацька
Острів Комсомольський 	> острів Монастирський
Провулок Комсомольський 	> вулиця Дібровська
Ж/м Комунар 	> Ж/м Покровський
Ст.метро Комунарівська 	> Ст.метро Покровська
вулиця Комунарівська 	> вулиця Юрія Кондратюка
вулиця Копилова 	> вулиця Бориса Познанського
Провулок Копилова 	> провулок Бориса Познанського
вулиця Корнійчука 	> вулиця Бориса Мозолевського
вулиця Косарева 	> вулиця Сіверянська
вулиця Косіора 	> вулиця Петра Калнишевського
вулиця Котовського 	> вулиця Тернівська
вулиця Котовського 	> вулиця Івана Труби
вулиця Кочкіна 	> вулиця Євгена Вирового
Провулок Красіна 	> провулок Косинський
